source,target
translate ASL to English: CITY INDUSTRIES BOOM,All the industries in the city are booming.
translate ASL to English: CITY I LIKE,I'd like a map of the city.
translate ASL to English: MAP I LIKE,I'd like a city map.
translate ASL to English: LIBRARY CITIZENS HAVE,All the citizens of the city have access to the city library.
translate ASL to English: HALL IT TAKE,How long does it take to walk to the city hall?
translate ASL to English: I NEED,Do I need to go there?
translate ASL to English: WATER WE HAVE,We had no water to drink.
translate ASL to English: UNIFORMS SCHOOL DO,Our school did away with uniforms last year.
translate ASL to English: SCHOOL WE HAVE,We have no school today.
translate ASL to English: DOG WE NAME,We named the dog White.
translate ASL to English: CITY WE WANT,We want to do the sights of the city.
translate ASL to English: BIRTHDAY WE HAPPEN,It happens that we have the same birthday.
translate ASL to English: BUS WE GO,We go to school by bus.
translate ASL to English: EXAMS IT CONSIDER,We all consider it wrong to cheat in exams.
translate ASL to English: TEST IT CONSIDER,We all consider it wrong to cheat on the test.
translate ASL to English: MORE WE NEED,We need to study more.
translate ASL to English: SOMETHING WE NEED,We need something to eat.
translate ASL to English: EXAMINATION IT CONSIDER,We all consider it wrong to cheat in the examination.
translate ASL to English: SCHOOL WE GO,We go to school to learn.
translate ASL to English: SCHOOL WE STUDY,We study English at school.
translate ASL to English: SCHOOL WE GO,We must go to school.
translate ASL to English: SCHOOL WE STUDY,We study many subjects in high school.
translate ASL to English: BLACK I HAVE,I have a black and a white dog.
translate ASL to English: FAMILY WE WANT,We want to have a large family.
translate ASL to English: SCHOOL WE GO,We go to the same school.
translate ASL to English: SCHOOL WE GO,We go to school to study.
translate ASL to English: SCHOOL WE HAVE,We have no school tomorrow.
translate ASL to English: WORK I HAVE,I have no time to help you with the work.
translate ASL to English: FAMILY I HAVE,I have a family.
translate ASL to English: YOURS I WANT,I want a jacket shaped like yours.
translate ASL to English: TIME I HAVE,I have no time.
translate ASL to English: TIME I HAVE,I had no time to eat.
translate ASL to English: COUSIN WHO HAVE,I have a cousin who is a lawyer.
translate ASL to English: FAMILY I HAVE,I have no family to provide for.
translate ASL to English: COUSIN YOU WANT,I want you to meet my cousin.
translate ASL to English: WORK I NEED,I need some help with my work.
translate ASL to English: LETTER WANT,I want this letter opened now.
translate ASL to English: I WORK,I can hardly work now.
translate ASL to English: TENNIS I PLAY,I play tennis all the year around.
translate ASL to English: PIE I WANT,I want to eat apple pie.
translate ASL to English: JACKET YOU WANT,I want the same jacket as you are wearing.
translate ASL to English: YOU I LIKE,I'd like to dance with you.
translate ASL to English: DOG I WANT,I want a picture of that dog.
translate ASL to English: USA I LIKE,I would like to go to the USA.
translate ASL to English: AMERICA I WANT,I want to go to America.
translate ASL to English: AFRICA I WANT,I want to go to Africa someday.
translate ASL to English: COUSIN I HAVE,I have to go to the airport to meet my cousin.
translate ASL to English: CARDS I WANT,I want to play cards.
translate ASL to English: GUITAR I WANT,I want to play the guitar.
translate ASL to English: THURSDAY WORK WANT,I want this work done by next Thursday.
translate ASL to English: DRESS I LIKE,I like this blue dress.
translate ASL to English: HAT I LIKE,I don't like this hat.
translate ASL to English: BOOK I LIKE,I like this book best.
translate ASL to English: BOOK I WANT,I want to read this book.
translate ASL to English: BOOK I READ,I have read this book before.
translate ASL to English: THIS I NEED,I need this.
translate ASL to English: COMPUTER I HAVE,I have a computer.
translate ASL to English: CYCLING I LIKE,I'd like to go cycling.
translate ASL to English: SOCCER I LIKE,I like to play soccer.
translate ASL to English: SUSHI I LIKE,I would like to eat sushi.
translate ASL to English: YOU I WANT,I do want to go with you.
translate ASL to English: MAN I LIKE,I like that young man.
translate ASL to English: BOOK I WANT,I want to read the book.
translate ASL to English: TEN I GO,I usually go to bed before ten.
translate ASL to English: SCHOOL I WALK,I usually walk to school.
translate ASL to English: SCHOOL I WALK,I generally walk to school.
translate ASL to English: CAT DOG HAVE,I have a cat and a dog. The cat is black and the dog is white.
translate ASL to English: COMPUTER I WANT,I want a personal computer.
translate ASL to English: IT I LIKE,I like it black.
translate ASL to English: FRENCH I WANT,I want to study French.
translate ASL to English: I WALK,I can walk no farther.
translate ASL to English: APPLES I LIKE,I like to eat apples.
translate ASL to English: LONDON I LIKE,I'd like to go to London.
translate ASL to English: ENGLISH I WANT,I want to study English.
translate ASL to English: ENGLISH I LIKE,I like to study English.
translate ASL to English: SOMETHING I WANT,I want to drink something.
translate ASL to English: SOMETHING I WANT,I want to eat something.
translate ASL to English: WHAT I DECIDE,I must decide what to do.
translate ASL to English: I WANT,I want to go home.
translate ASL to English: SCHOOL I STUDY,I study hard at school.
translate ASL to English: SCHOOL I STUDY,I study at school.
translate ASL to English: TIME I ARRIVE,I arrived at school on time.
translate ASL to English: SCHOOL I GO,I do not go to school.
translate ASL to English: MILK I WANT,I want to drink milk.
translate ASL to English: DOCTOR I SEE,I didn't see a doctor last year.
translate ASL to English: CITY I LIVE,I lived in Sanda City last year.
translate ASL to English: FISH I LIKE,I like fish.
translate ASL to English: YOURS I WANT,I want the same style of jacket as yours.
translate ASL to English: HELP I NEED,I need your help.
translate ASL to English: KENJI I GO,I go to the same school as Kenji.
translate ASL to English: CHOICE I HAVE,I had no choice but to go.
translate ASL to English: WHAT I NEED,I need time to mull things over before I decide what to do.
translate ASL to English: BLACK I HAVE,I have a black and a white coat.
translate ASL to English: DOG I HAVE,I have a black and white dog.
translate ASL to English: MONEY I NEED,I do not need money now.
translate ASL to English: IT I DO,I will do it right now.
translate ASL to English: IT I HAVE,I have no remembrance of it now.
translate ASL to English: LUNCH I WANT,I don't want to eat lunch now.
translate ASL to English: YESTERDAY I HAVE,I had to finish the work by yesterday.
translate ASL to English: I RETIRE,I retired last year.
translate ASL to English: MOUNTAINS I LIKE,I like to walk in the mountains.
translate ASL to English: WALK I LIKE,I like taking a walk.
translate ASL to English: WALK I HAVE,I have no mind to go for a walk.
translate ASL to English: WORK I HAVE,I had an accident at work.
translate ASL to English: WHAT DEATH HAVE,I have no idea what death is like.
translate ASL to English: DENTIST I GO,Need I go to the dentist's?
translate ASL to English: SCHOOL I MEET,I meet him at school now and then.
translate ASL to English: TIME I REACH,I did not reach school in time.
translate ASL to English: TIME I GO,I go to the library from time to time.
translate ASL to English: TIME I MEET,I meet him from time to time.
translate ASL to English: SCHOOL I MEET,I meet her at school now and then.
translate ASL to English: BICYCLE I GO,I go to school by bicycle.
translate ASL to English: OWN I WANT,I want to finish the work on my own.
translate ASL to English: MATH I WANT,I want to study math.
translate ASL to English: MATH I NEED,I need to study math.
translate ASL to English: COLORS I LIKE,I like blue best of all colors.
translate ASL to English: SCHOOL I GO,I didn't go to school last month.
translate ASL to English: RIVER I LIKE,I like to fish in the river.
translate ASL to English: I STUDY,I didn't study at all.
translate ASL to English: I WANT,I want to go straight.
translate ASL to English: DOG I HAVE,I have a big black dog.
translate ASL to English: COLLEGE I WANT,I want to go to college.
translate ASL to English: SCHOOL I PLAN,I'm planning to go to graduate school.
translate ASL to English: HAIR I LIKE,I like short hair.
translate ASL to English: POEMS I LIKE,I like short poems.
translate ASL to English: SUBWAY I GO,I go to school by subway.
translate ASL to English: SHOES I WANT,"I want brown shoes, not black ones."
translate ASL to English: TIME I ARREST,I arrested many thieves at the same time.
translate ASL to English: COUNTRY I LIKE,I like to walk in the country.
translate ASL to English: I LIKE,I like to work.
translate ASL to English: BOOK I WANT,I want a book to read.
translate ASL to English: TIME I HAVE,I have no time to read.
translate ASL to English: HIM I GO,I go to school with him.
translate ASL to English: I HAVE,I have to study.
translate ASL to English: LEISURE I HAVE,I have no leisure to study.
translate ASL to English: BED I GO,I go to bed after I study.
translate ASL to English: SCHOOL I HAVE,I have to walk to school.
translate ASL to English: FOOT I GO,I go to school on foot.
translate ASL to English: MOTHER I HAVE,I have to help Mother.
translate ASL to English: BOOK I WANT,I want a book.
translate ASL to English: SCHOOL I GO,I will not go to school tomorrow.
translate ASL to English: I WANT,I want to go abroad next year.
translate ASL to English: EGG I LIKE,I like the white of an egg.
translate ASL to English: I WANT,I want to study abroad.
translate ASL to English: HISTORY I WANT,I want to study history.
translate ASL to English: SAME I LIKE,I'd like to order the same.
translate ASL to English: IT I DO,I will do it the same.
translate ASL to English: WE GO,We do not all go.
translate ASL to English: US YOU LIKE,Would you like to eat with us?
translate ASL to English: TIME WE START,We started in no time.
translate ASL to English: HIM WE LIKE,We all like him.
translate ASL to English: SCHOOL I STUDY,I study English at school.
translate ASL to English: SCHOOL WE WALK,We usually walk to school.
translate ASL to English: PAPER I NEED,I need some paper.
translate ASL to English: IT 'S LET,Let's have a go at it.
translate ASL to English: EXAMINATION IT CONSIDER,We all consider it wrong to cheat in an examination.
translate ASL to English: SUDDEN ACCIDENT HAPPEN,The accident happened all of a sudden.
translate ASL to English: MAN SCORE WANT,We want a man who knows what the score is.
translate ASL to English: TIME CREEP,Time crept on.
translate ASL to English: WHICH TELL,Time will tell which is right.
translate ASL to English: YOU YOU TELL,Only time will tell you if you're right.
translate ASL to English: TIME FLY,Time flies.
translate ASL to English: TIME GO,As time goes by.
translate ASL to English: WOUNDS TIME HEAL,Time heals all wounds.
translate ASL to English: WE ACT,"Time is short, we must act NOW."
